SLN,Days,Time
12724BN,TTh,130-220
12725BO,TTh,230-320
12726A,MWF,330-420
12728AB,TTh,1230-120
12731A,MWF,830-920
12732AA,TTh,830-920
12733AB,TTh,930-1020
12734AC,TTh,1030-1120
12735AD,TTh,1130-1220
12736AE,TTh,1230-120
12737AF,TTh,130-220
12738AG,TTh,230-320
12739A,MWF,930-1020
12740AA,Th,830-920
12741AB,Th,930-1020
12742AC,Th,1030-1120
12744AE,Th,1230-120
12745AF,Th,130-220
>12747AH,Th,330-420
12748A,MWF,1230-120
12749AA,Th,1230-120
12754AF,Th,1030-1120
12755AG,Th,1230-120
12756AH,Th,830-920
12757AI,Th,930-1020
12759A,MWF,1030-1120
12762AC,Th,330-420
12763AD,Th,1230-120
>12764S,Th,230-350
>12765Y,T,230-350
>12766Z,T,1230-150
12769AB,Th,1030-1120
12771AD,Th,1230-120
12777BD,Th,330-420
Restr12779A,MWF,930-1020
12781AB,Th,930-1020
12783AD,Th,1130-1220
12784AE,Th,1230-120
Restr12785B,MWF,130-220
21808BE,Th,130-220
Restr12790A,MWF,1030-1120
12791AA,Th,830-920
12793AC,Th,1030-1120
12795AE,Th,1230-120
Restr12796B,MWF,230-320
12797BA,Th,1230-120
12798BB,Th,130-220
12799BC,Th,230-320
12800BD,Th,330-420
12801BE,Th,1230-120
Restr12802A,MWF,1230-120
12804AB,Th,1230-120
21825AF,Th,1130-1220
Restr12808A,MWF,1130-1220
12809AA,Th,830-920
12810AB,Th,930-1020
12811AC,Th,1030-1120
12812AD,Th,1130-1220
12815A,TTh,1130-1250
12816AA,F,1030-1120
Restr12818A,MWF,1230-120
12819AA,Th,1230-120
12821AC,Th,230-320
12822AD,Th,1130-1220
Restr12829A,MWF,1130-1220
12831AB,Th,930-1020
Restr12835B,MWF,330-420
12836BA,Th,130-220
12838BC,Th,330-420
12839BD,Th,1230-120
12845CE,Th,1230-120
Restr12846D,MWF,330-420
12847DA,Th,130-220
12849DC,Th,330-420
12850DD,Th,1230-120
Restr12851A,T,130-250
Restr12852A,TTh,1030-1220
Restr12853A,MWF,230-320
12854AA,Th,930-1020
12855AB,Th,1030-1120
12856AC,Th,1230-120
12858AE,Th,230-320
12859AF,Th,330-420
12860AG,Th,830-920
12861AH,Th,1130-1220
12862AI,Th,230-320
>12865B,WF,330-450
>21803G,MWF,930-1020
12867HA,T,330-450
12868HB,T,330-450
>12869T,WF,230-320
>12871ZA,T,230-420
>12872ZB,T,1230-220
Restr12873A,T,330-420
Restr12874B,T,330-420
Restr12875A,MWF,230-320
12876AA,Th,130-220
12877AB,Th,230-320
12878AC,Th,330-420
Restr12879A,MWF,1030-1120
12880AA,Th,1230-120
12881AB,Th,130-220
12882AC,Th,230-320
Restr12885B,MWF,1030-1120
12888BC,Th,230-320
12889BD,Th,930-1020
Restr12902A,MWF,130-220
Restr12903AA,Th,1130-1220
Restr12904AB,Th,1230-120
Restr12905AC,Th,130-220
Restr12906AD,Th,230-320
Restr12907AE,Th,330-420
21796AF,Th,1230-120
Restr12908A,Th,930-1150
Restr12909A,TTh,1130-1250
Restr12910A,TTh,1000-1120
12913AC,F,1230-120
Restr12920A,MWF,1230-120
12921AA,Th,1230-120
12922AB,Th,130-220
12923AC,Th,230-320
12924A,MWF,930-1020
12925AA,Th,830-920
12926AB,Th,930-1020
12927AC,Th,1030-1120
12928AD,Th,1130-1220
12929AE,Th,1230-120
12930AF,Th,130-220
Restr12931A,MWF,1130-1220
12932AA,Th,1230-120
12933AB,Th,130-220
12934AC,Th,230-320
Restr12935A,MWF,1130-1220
12936AA,Th,1230-120
12937AB,Th,130-220
12938AC,Th,230-320
12939AD,Th,330-420
12940AE,Th,1130-1220
